Stock Name,Symbol,Shares,Purchase Price,Cost Basis,Current Price,Market Value,Gain/Loss,Dividend/share,Annual Yield
Apple,AAPL,100,90.00,9000.00,144.13,14413.27,14269.14,2.28,1.58
Microsoft,MSFT,200,32.00,6400.00,65.57,13114.14,13048.57,1.56,2.38
SalesForce,CRM,150,25.00,3750.00,82.57,12385.50,12302.93,0.00,0.00
Oracle,ORCL,250,50.00,12500.00,44.56,11138.75,11094.20,0.64,1.44
Hewlett Packard Enterprise,HPE,500,18.00,9000.00,17.69,8842.50,8824.82,0.26,1.47
Alphabet,GOOG,100,225.00,22500.00,833.36,83336.00,82502.64,0.00,0.00
Intel,INTC,200,22.00,4400.00,36.07,7213.00,7176.94,1.09,3.02
Cisco,CSCO,225,18.00,4050.00,33.24,7478.78,7445.54,1.16,3.49
Qualcomm,QCOM,185,65.00,12025.00,56.48,10447.88,10391.40,2.12,3.75
Amazon,AMZN,50,800.00,40000.00,897.64,44882.00,43984.14,0.00,0.00
Redhat,RHT,100,95.00,9500.00,86.26,8626.00,8539.74,0.00,0.00
Facebook,FB,1000,17.00,1700.00,141.64,141640.00,141498.36,0.00,0.00
Twitter,TWTR,500,45.00,22500.00,14.61,7302.55,7287.94,0.00,0.00
